"HolderAddress","Balance","PendingBalanceUpdate"
"0x79deafb2e816ff5e0e90531207c371242ae33375","1886.001","No"
"0x0dd1a236494ad791d159350b7ee32a2356f6b39c","197.999","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x4c39ada0340c1eb3cee343f44819323dd29081a9","5.929813046229E-06","No"
"0x32c0ad074627148f3a76ec880922277d68eb2649","0.960560471138573","No"
"0x179db30b9a1b88724d41219e553ef3dd1c4cca55","0.00262583319558877","No"
"0x692c5deb0c1fec6be346098a21303f3c175b93af","1235.39246137058","No"
"0xa478d2f55e820284d3815fa3368d683f9262dfef","37.0272295458022","No"
"0x76b687cf4e5a4e73fa3950d6cc642bcc64e40b88","0.000935284290736655","No"
"0x7c20b174f7275a59be485a11652f0990866764a8","8.69290363963278","No"
"0x0eb630d168cf1af886dd16f81d6a84774c1d04da","500","No"
"0x3a4dd62195f4dcc3d3c2517f2bc699594fe2cbb9","15000.5034052372","No"
"0xe701e5feb2e7574be5b4c1ef90e754184e87b8a3","30","No"
"0x8cc69152dd37f003e62cb95128dac8794c45bd10","3.48837911073266","No"
"0xa098958e4c3259af322001c450609fd7f9b64c58","568.502679540703","No"
"0x677f07d757bdd7bbc7c8c186b084ca5bc75bec6a","2812","No"
"0xfe18658d9392152be7e2d3d490c72d10a9351fb3","0.710638391731573","No"
"0x9f42cbb2a75f9b0e64e0e654e5f39e9f7ba0236c","0.00888733156408301","No"
"0x7607aedb36183deb0474037b8783f31d2026a36f","0.000690406875713591","No"
"0x1e4173649dd168daf0da51a5ec91c74faf1bbbbb","0.692032006269239","No"
"0x7210dab65f0a0140490af1bea0e28c92bcf938ed","0.0138150472774715","No"
"0x05a759d81f8dcc53215c1c9cf90061222172b89a","12.5715208075879","No"
"0xd641489a30a7cdad187ce67c49543ea8957e6471","133","No"
"0x8ea3a5ed5a9de7c7fbe7e6ba9446067784750de7","78.6574627767859","No"
"0xd9fbb755d859c8026aba1b64f71ce97ab594644d","0.01","No"
"0xbdc093b0f95aa1ee9ff1d477bb809196d7d57170","0.00275538837397667","No"
"0x45574cff77d61861a9eb18e5c61ecaea3758e72d","1591","No"
"0x1bccf39f9f93ea610615eb68cb5b508298d07481","0.950906736881398","No"
"0x6477241a2aa2742e2bd19a4374d9cbd6d78a3d31","0.00509217407264742","No"
"0x2ed846fea144216cccb58ae3654eac4b1b304d47","7.3513417992759E-05","No"
"0xfd7a73e6aeca1ffa331cc6d21fc1fef100f8be2b","0.0322896472864453","No"
"0x1217eedfa2979d249713ccef77caafa1bd6607e1","1960.95406155381","No"
"0x60116294a93f819aefdfbabb51a2ba66ab84c89a","500","No"
"0x3773a9aad934307bb65083b79ab51c14c095bf8d","14025","No"
"0x0a01da4b575417c1e759f9ca42652d65551e8858","74","No"
"0x6f2a5959dc8e9143fe1a0a1cfe67f81b94d2f6f8","9162","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x68eac304089cd9e6f25d6c517c2696b82b6ba8af","10","No"
"0x656a13da4de5e85a1cb7f6d0c4461bdb20d07fd0","4580","No"
"0x2414272a474621f239950dfc2e65aa070e10d941","20089","No"
"0x8bf214ad64f3e7304053c2859dcc5b49ef879348","30590","No"
"0xdf61ba50120d6cc4fcc6db3bc598cd16704ab922","124.9516","No"
"0x816d908ffa3039fd228ce481f14a17ec70b368fe","452","No"
"0xf21be3fdf6d538bff693257478f43be28f7ef785","129.561946015396","No"
"0xd54014878a14efa1d59d2a22d129eafb1b27d8b9","2926","No"
"0x918403accc9f319c724e9e57d016dba8ca6c7aae","0.679181849558861","No"
"0x0a92412c90a5135736af0fe39f83c1c4913f07bc","492.811174000013","No"
"0xae075d5cc1856f5b34525a760d2c823a069914ea","4451","No"
"0x447df2fc1b99ef0b7bdd419f75edaacf51253b4a","43","No"
"0xa4e36c0cf96e9fb95834c1982e001686260604db","5.14899865938563","No"
"0x98a21fc313310028340d2fc51c7ae070edb10e71","7","No"
"0x1d40fc9456a1e6f13f69615fee1cbcbe604b9167","0.542456876350292","No"
"0x69947eb90c7b50cfa6093c5fd6d08b6f811cf69b","2500","No"
"0x855a5b16782304d3382dd764ef69a10efbeb9a77","1E-18","No"
"0xfba09fb5326a7b42312b808cdb2ebefbc742edb0","7000","No"
"0x7f392a57cc504c64fc52994656a992ccfa13a2ab","3477","No"
"0xe0df66924be8f6e24879f1f6771470bdc0648086","1.2044221583842E-05","No"
"0xd57de9d5e4dfdb188e620733582c6e41de71db77","0.042162408205424","No"
"0xb4e8b280c3062438f2d71009e0298bf94c6d8202","9.345975469263","No"
"0xf40d844f18ceeb158472fa074b5706946f2bb643","1031","No"
"0x433ebef6392ccea70d0f31467da250a3c2ae2c4a","47746","No"
"0x2b77bf044bcbcf5d22bc394c46a520e7e9729138","161.020979719536","No"
